Port Name,State,Port Code,Border,Date,Measure,Value
Metaline Falls,Washington,3025,US-Canada Border,06/01/2019 12:00:00 AM,Buses,7
Metaline Falls,Washington,3025,US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,202
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Trucks,3323
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,627
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,2730
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,54001
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,105375
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,100
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Buses,3
Lynden,Washington,3023,US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,139
Laurier,Washington,3016,US-Canada Border,06/01/2019 12:00:00 AM,Trucks,492
Laurier,Washington,3016,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,113
Laurier,Washington,3016,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,381
Laurier,Washington,3016,US-Canada Border,06/01/2019 12:00:00 AM,Trains,11
Laurier,Washington,3016,US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,22
Laurier,Washington,3016,US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,199
Laurier,Washington,3016,US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,35
Laurier,Washington,3016,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,4279
Laurier,Washington,3016,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,7592
Laurier,Washington,3016,US-Canada Border,06/01/2019 12:00:00 AM,Buses,1
Laurier,Washington,3016,US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,20
Frontier,Washington,3020,US-Canada Border,06/01/2019 12:00:00 AM,Trucks,1979
Frontier,Washington,3020,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,619
Frontier,Washington,3020,US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,1555
Frontier,Washington,3020,US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,3508
