Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,14020102
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,6531023
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,3698446
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,5509460
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,2637817
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,400445
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,510170
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,254785
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,382028
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,109458
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,243362
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,141182
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,88599
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,266015
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,44404
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,31635
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,28181
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,46607
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,19482
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,21296
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,11074
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,2510
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,729
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,1031
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,12939220,14023962
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicles,6604570,6530760
US-Mexico Border,12/01/2017 12:00:00 AM,Pedestrians,4084983,3697066
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,3918120,5515144
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicles,2033658,2639975
US-Mexico Border,12/01/2017 12:00:00 AM,Trucks,465722,400211
US-Canada Border,12/01/2017 12:00:00 AM,Trucks,415723,510508
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Full,320329,254551
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Full,303972,382307
US-Mexico Border,12/01/2017 12:00:00 AM,Bus Passengers,153202,243684
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Full,144333,109334
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Empty,142113,141178
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Empty,119996,88487
US-Canada Border,12/01/2017 12:00:00 AM,Bus Passengers,101295,266603
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Empty,58486,44353
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Empty,43734,31592
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Full,39599,28140
US-Canada Border,12/01/2017 12:00:00 AM,Pedestrians,16585,46714
US-Mexico Border,12/01/2017 12:00:00 AM,Buses,14483,19500
US-Canada Border,12/01/2017 12:00:00 AM,Train Passengers,13308,21324
US-Canada Border,12/01/2017 12:00:00 AM,Buses,4199,11099
US-Canada Border,12/01/2017 12:00:00 AM,Trains,1778,2513
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,1011,1031
US-Mexico Border,12/01/2017 12:00:00 AM,Trains,918,729
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,12651731,14028881
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicles,6538225,6530733
US-Mexico Border,12/01/2016 12:00:00 AM,Pedestrians,3742732,3696902
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,3661312,5521788
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicles,2001120,2642264
US-Mexico Border,12/01/2016 12:00:00 AM,Trucks,471027,399958
US-Canada Border,12/01/2016 12:00:00 AM,Trucks,429874,510797
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Full,340124,382458
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Full,315173,254334
US-Mexico Border,12/01/2016 12:00:00 AM,Bus Passengers,156361,243997
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Empty,153526,141134
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Full,128793,109264
US-Canada Border,12/01/2016 12:00:00 AM,Bus Passengers,104876,267183
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Empty,82752,88508
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Empty,48508,44338
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Full,40121,28097
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Empty,38259,31568
US-Mexico Border,12/01/2016 12:00:00 AM,Buses,16056,19512
US-Canada Border,12/01/2016 12:00:00 AM,Train Passengers,15120,21347
US-Canada Border,12/01/2016 12:00:00 AM,Pedestrians,14316,46830
US-Canada Border,12/01/2016 12:00:00 AM,Buses,4707,11122
US-Canada Border,12/01/2016 12:00:00 AM,Trains,2431,2513
US-Mexico Border,12/01/2016 12:00:00 AM,Train Passengers,928,1032
US-Mexico Border,12/01/2016 12:00:00 AM,Trains,857,728
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,12663151,14033793
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicles,6554035,6530649
US-Mexico Border,12/01/2015 12:00:00 AM,Pedestrians,3806503,3696508
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,3753777,5528148
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicles,2051559,2644389
US-Canada Border,12/01/2015 12:00:00 AM,Trucks,443072,511040
US-Mexico Border,12/01/2015 12:00:00 AM,Trucks,439833,399814
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Full,321599,382677
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Full,302522,254161
US-Mexico Border,12/01/2015 12:00:00 AM,Bus Passengers,222809,244073
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Empty,133821,141160
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Full,129075,109193
US-Canada Border,12/01/2015 12:00:00 AM,Bus Passengers,109880,267749
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Empty,81862,88532
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Empty,49783,44319
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Full,39311,28057
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Empty,39153,31540
US-Mexico Border,12/01/2015 12:00:00 AM,Buses,19011,19514
US-Canada Border,12/01/2015 12:00:00 AM,Pedestrians,18664,46931
US-Canada Border,12/01/2015 12:00:00 AM,Train Passengers,14133,21373
US-Canada Border,12/01/2015 12:00:00 AM,Buses,5297,11143
US-Canada Border,12/01/2015 12:00:00 AM,Trains,2426,2513
US-Mexico Border,12/01/2015 12:00:00 AM,Train Passengers,979,1032
US-Mexico Border,12/01/2015 12:00:00 AM,Trains,844,728
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,12207554,14040386
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicles,6329766,6531375
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,4458925,5532008
US-Mexico Border,12/01/2014 12:00:00 AM,Pedestrians,3815655,3696078
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicles,2406075,2645250
US-Canada Border,12/01/2014 12:00:00 AM,Trucks,445798,511276
US-Mexico Border,12/01/2014 12:00:00 AM,Trucks,431463,399700
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Full,311052,382936
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Full,269057,254107
US-Mexico Border,12/01/2014 12:00:00 AM,Bus Passengers,244142,244073
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Full,135873,109096
US-Canada Border,12/01/2014 12:00:00 AM,Bus Passengers,125678,268262
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Empty,103650,141296
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Empty,100925,88487
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Empty,61100,44258
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Empty,37996,31517
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Full,36430,28026
US-Canada Border,12/01/2014 12:00:00 AM,Pedestrians,19935,47029
US-Mexico Border,12/01/2014 12:00:00 AM,Buses,18883,19517
US-Canada Border,12/01/2014 12:00:00 AM,Train Passengers,15318,21394
US-Canada Border,12/01/2014 12:00:00 AM,Buses,5782,11162
US-Canada Border,12/01/2014 12:00:00 AM,Trains,2268,2514
US-Mexico Border,12/01/2014 12:00:00 AM,Train Passengers,884,1032
US-Mexico Border,12/01/2014 12:00:00 AM,Trains,825,727
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,11710485,14048828
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicles,6000441,6533298
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,4753768,5534828
US-Mexico Border,12/01/2013 12:00:00 AM,Pedestrians,3988323,3695019
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicles,2524328,2645688
US-Canada Border,12/01/2013 12:00:00 AM,Trucks,412866,511632
US-Mexico Border,12/01/2013 12:00:00 AM,Trucks,398636,399704
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Full,300125,383236
US-Mexico Border,12/01/2013 12:00:00 AM,Bus Passengers,254446,244035
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Full,233404,254182
US-Canada Border,12/01/2013 12:00:00 AM,Bus Passengers,142820,268716
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Full,120826,109054
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Empty,91227,141477
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Empty,90710,88479
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Empty,55063,44219
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Empty,34945,31505
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Full,33411,28007
US-Mexico Border,12/01/2013 12:00:00 AM,Buses,18896,19519
US-Canada Border,12/01/2013 12:00:00 AM,Train Passengers,15379,21416
US-Canada Border,12/01/2013 12:00:00 AM,Pedestrians,13847,47149
US-Canada Border,12/01/2013 12:00:00 AM,Buses,6302,11180
US-Canada Border,12/01/2013 12:00:00 AM,Trains,2317,2515
US-Mexico Border,12/01/2013 12:00:00 AM,Trains,779,727
US-Mexico Border,12/01/2013 12:00:00 AM,Train Passengers,291,1035
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,10971293,14060019
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicles,5608850,6536660
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,4847694,5537327
US-Mexico Border,12/01/2012 12:00:00 AM,Pedestrians,3923442,3694188
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicles,2545279,2646053
US-Canada Border,12/01/2012 12:00:00 AM,Trucks,390438,512073
US-Mexico Border,12/01/2012 12:00:00 AM,Trucks,370217,399811
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Full,287570,383583
US-Mexico Border,12/01/2012 12:00:00 AM,Bus Passengers,263620,243964
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Full,252068,254189
US-Canada Border,12/01/2012 12:00:00 AM,Bus Passengers,150095,269148
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Full,119825,109015
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Empty,117512,141564
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Empty,97013,88448
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Empty,55917,44177
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Full,32588,27990
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Empty,30085,31510
US-Mexico Border,12/01/2012 12:00:00 AM,Buses,19805,19518
US-Canada Border,12/01/2012 12:00:00 AM,Pedestrians,16812,47259
US-Canada Border,12/01/2012 12:00:00 AM,Train Passengers,12525,21449
US-Canada Border,12/01/2012 12:00:00 AM,Buses,6354,11197
US-Canada Border,12/01/2012 12:00:00 AM,Trains,2272,2516
US-Mexico Border,12/01/2012 12:00:00 AM,Trains,743,727
US-Mexico Border,12/01/2012 12:00:00 AM,Train Passengers,309,1038
US-Mexico Border,12/01/2011 12:00:00 AM,Personal Vehicle Passengers,10246464,14073937
US-Mexico Border,12/01/2011 12:00:00 AM,Personal Vehicles,5352799,6540980
US-Canada Border,12/01/2011 12:00:00 AM,Personal Vehicle Passengers,4797399,5540027
US-Mexico Border,12/01/2011 12:00:00 AM,Pedestrians,3753452,3693972
US-Canada Border,12/01/2011 12:00:00 AM,Personal Vehicles,2529059,2646480
US-Canada Border,12/01/2011 12:00:00 AM,Trucks,414522,512429
US-Mexico Border,12/01/2011 12:00:00 AM,Trucks,381976,399876
US-Canada Border,12/01/2011 12:00:00 AM,Truck Containers Full,271890,383991
US-Mexico Border,12/01/2011 12:00:00 AM,Bus Passengers,246049,243956
US-Mexico Border,12/01/2011 12:00:00 AM,Truck Containers Full,241312,254236
US-Canada Border,12/01/2011 12:00:00 AM,Bus Passengers,161998,269539
US-Canada Border,12/01/2011 12:00:00 AM,Rail Containers Full,114407,108995
US-Mexico Border,12/01/2011 12:00:00 AM,Truck Containers Empty,113485,141667
US-Canada Border,12/01/2011 12:00:00 AM,Truck Containers Empty,81462,88473
US-Canada Border,12/01/2011 12:00:00 AM,Rail Containers Empty,52520,44146
US-Mexico Border,12/01/2011 12:00:00 AM,Rail Containers Empty,34119,31500
US-Mexico Border,12/01/2011 12:00:00 AM,Rail Containers Full,28990,27987
US-Canada Border,12/01/2011 12:00:00 AM,Pedestrians,23785,47345
US-Mexico Border,12/01/2011 12:00:00 AM,Buses,19293,19519
US-Canada Border,12/01/2011 12:00:00 AM,Train Passengers,15839,21469
US-Canada Border,12/01/2011 12:00:00 AM,Buses,7156,11212
US-Canada Border,12/01/2011 12:00:00 AM,Trains,2314,2517
US-Mexico Border,12/01/2011 12:00:00 AM,Trains,699,727
US-Mexico Border,12/01/2011 12:00:00 AM,Train Passengers,295,1040
US-Mexico Border,12/01/2010 12:00:00 AM,Personal Vehicle Passengers,10335188,14087632
US-Mexico Border,12/01/2010 12:00:00 AM,Personal Vehicles,5498251,6544800
US-Canada Border,12/01/2010 12:00:00 AM,Personal Vehicle Passengers,4286994,5544617
US-Mexico Border,12/01/2010 12:00:00 AM,Pedestrians,3788938,3693624
US-Canada Border,12/01/2010 12:00:00 AM,Personal Vehicles,2285607,2647802
US-Canada Border,12/01/2010 12:00:00 AM,Trucks,402423,512832
US-Mexico Border,12/01/2010 12:00:00 AM,Trucks,376557,399961
US-Canada Border,12/01/2010 12:00:00 AM,Truck Containers Full,302171,384291
US-Mexico Border,12/01/2010 12:00:00 AM,Bus Passengers,272182,243853
US-Mexico Border,12/01/2010 12:00:00 AM,Truck Containers Full,249346,254254
US-Canada Border,12/01/2010 12:00:00 AM,Bus Passengers,140795,270010
US-Mexico Border,12/01/2010 12:00:00 AM,Truck Containers Empty,124954,141728
US-Canada Border,12/01/2010 12:00:00 AM,Rail Containers Full,99136,109031
US-Canada Border,12/01/2010 12:00:00 AM,Truck Containers Empty,83795,88490
US-Canada Border,12/01/2010 12:00:00 AM,Rail Containers Empty,49209,44128
US-Mexico Border,12/01/2010 12:00:00 AM,Rail Containers Empty,29946,31506
US-Mexico Border,12/01/2010 12:00:00 AM,Rail Containers Full,27116,27990
US-Mexico Border,12/01/2010 12:00:00 AM,Buses,19063,19520
US-Canada Border,12/01/2010 12:00:00 AM,Pedestrians,18678,47450
US-Canada Border,12/01/2010 12:00:00 AM,Train Passengers,12641,21501
US-Canada Border,12/01/2010 12:00:00 AM,Buses,7109,11227
US-Canada Border,12/01/2010 12:00:00 AM,Trains,2118,2518
US-Mexico Border,12/01/2010 12:00:00 AM,Trains,619,728
US-Mexico Border,12/01/2010 12:00:00 AM,Train Passengers,224,1043
US-Mexico Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,12599702,14093102
US-Mexico Border,12/01/2009 12:00:00 AM,Personal Vehicles,5969740,6546914
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,4133937,5549803
US-Mexico Border,12/01/2009 12:00:00 AM,Pedestrians,3708066,3693571
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicles,2060769,2649960
US-Canada Border,12/01/2009 12:00:00 AM,Trucks,404280,513231
US-Mexico Border,12/01/2009 12:00:00 AM,Trucks,360126,400108
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Full,315798,384543
US-Mexico Border,12/01/2009 12:00:00 AM,Truck Containers Full,234058,254329
US-Mexico Border,12/01/2009 12:00:00 AM,Bus Passengers,217595,243950
US-Canada Border,12/01/2009 12:00:00 AM,Bus Passengers,158215,270421
US-Mexico Border,12/01/2009 12:00:00 AM,Truck Containers Empty,124446,141791
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Full,88214,109108
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Empty,85845,88500
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Empty,39910,44143
US-Mexico Border,12/01/2009 12:00:00 AM,Rail Containers Empty,29556,31513
US-Mexico Border,12/01/2009 12:00:00 AM,Rail Containers Full,23390,28007
US-Mexico Border,12/01/2009 12:00:00 AM,Buses,20151,19518
US-Canada Border,12/01/2009 12:00:00 AM,Pedestrians,16077,47565
US-Canada Border,12/01/2009 12:00:00 AM,Train Passengers,14765,21526
US-Canada Border,12/01/2009 12:00:00 AM,Buses,7306,11241
US-Canada Border,12/01/2009 12:00:00 AM,Trains,1965,2520
US-Mexico Border,12/01/2009 12:00:00 AM,Trains,604,728
US-Mexico Border,12/01/2009 12:00:00 AM,Train Passengers,302,1046
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,13169398,14096511
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicles,6604996,6546700
US-Mexico Border,12/01/2008 12:00:00 AM,Pedestrians,3838082,3693038
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,3521642,5557287
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicles,1833417,2652973
US-Canada Border,12/01/2008 12:00:00 AM,Trucks,382977,513712
US-Mexico Border,12/01/2008 12:00:00 AM,Trucks,331232,400362
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Full,287911,384899
US-Mexico Border,12/01/2008 12:00:00 AM,Bus Passengers,254210,243912
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Full,199659,254530
US-Canada Border,12/01/2008 12:00:00 AM,Bus Passengers,162597,270819
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Empty,129628,141836
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Full,81987,109208
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Empty,66728,88580
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Empty,37471,44168
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Empty,33258,31507
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Full,24485,28020
US-Mexico Border,12/01/2008 12:00:00 AM,Buses,21794,19510
US-Canada Border,12/01/2008 12:00:00 AM,Pedestrians,17334,47677
US-Canada Border,12/01/2008 12:00:00 AM,Train Passengers,7983,21576
US-Canada Border,12/01/2008 12:00:00 AM,Buses,7497,11255
US-Canada Border,12/01/2008 12:00:00 AM,Trains,1835,2523
US-Mexico Border,12/01/2008 12:00:00 AM,Train Passengers,1771,1044
US-Mexico Border,12/01/2008 12:00:00 AM,Trains,751,728
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,14584120,14094705
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicles,7072540,6544752
US-Mexico Border,12/01/2007 12:00:00 AM,Pedestrians,4788991,3688979
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,4385658,5561627
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicles,2175942,2654740
US-Canada Border,12/01/2007 12:00:00 AM,Trucks,434458,514005
US-Mexico Border,12/01/2007 12:00:00 AM,Bus Passengers,361001,243478
US-Mexico Border,12/01/2007 12:00:00 AM,Trucks,359609,400513
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Full,351277,385024
US-Canada Border,12/01/2007 12:00:00 AM,Bus Passengers,254758,270879
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Full,224153,254643
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Empty,134428,141864
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Full,109266,109208
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Empty,80337,88611
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Empty,45117,44164
US-Mexico Border,12/01/2007 12:00:00 AM,Rail Containers Empty,35151,31493
US-Mexico Border,12/01/2007 12:00:00 AM,Rail Containers Full,26295,28026
US-Mexico Border,12/01/2007 12:00:00 AM,Buses,23760,19494
US-Canada Border,12/01/2007 12:00:00 AM,Pedestrians,19993,47780
US-Canada Border,12/01/2007 12:00:00 AM,Train Passengers,13765,21605
US-Canada Border,12/01/2007 12:00:00 AM,Buses,8656,11265
US-Canada Border,12/01/2007 12:00:00 AM,Trains,2430,2523
US-Mexico Border,12/01/2007 12:00:00 AM,Train Passengers,1585,1041
US-Mexico Border,12/01/2007 12:00:00 AM,Trains,858,727
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,15815174,14088309
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicles,7455033,6541368
US-Mexico Border,12/01/2006 12:00:00 AM,Pedestrians,4664264,3685353
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,4427650,5565842
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicles,2244897,2656263
US-Canada Border,12/01/2006 12:00:00 AM,Trucks,470527,514167
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Full,386579,385018
US-Mexico Border,12/01/2006 12:00:00 AM,Trucks,356786,400676
US-Mexico Border,12/01/2006 12:00:00 AM,Bus Passengers,313493,243218
US-Canada Border,12/01/2006 12:00:00 AM,Bus Passengers,221580,271062
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Full,220509,254770
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Empty,136176,141885
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Full,110378,109203
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Empty,71567,88674
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Empty,40165,44179
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Empty,36424,31475
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Full,31129,28015
US-Mexico Border,12/01/2006 12:00:00 AM,Buses,24575,19475
US-Canada Border,12/01/2006 12:00:00 AM,Pedestrians,22663,47873
US-Canada Border,12/01/2006 12:00:00 AM,Train Passengers,13751,21634
US-Canada Border,12/01/2006 12:00:00 AM,Buses,8443,11275
US-Canada Border,12/01/2006 12:00:00 AM,Trains,2822,2522
US-Mexico Border,12/01/2006 12:00:00 AM,Train Passengers,1641,1039
US-Mexico Border,12/01/2006 12:00:00 AM,Trains,847,727
US-Mexico Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,17017684,14077379
US-Mexico Border,12/01/2005 12:00:00 AM,Personal Vehicles,8010543,6535886
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,4698646,5569078
US-Mexico Border,12/01/2005 12:00:00 AM,Pedestrians,4241702,3683277
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicles,2232428,2657845
US-Canada Border,12/01/2005 12:00:00 AM,Trucks,501553,514214
US-Canada Border,12/01/2005 12:00:00 AM,Truck Containers Full,433899,384836
US-Mexico Border,12/01/2005 12:00:00 AM,Trucks,381580,400747
US-Mexico Border,12/01/2005 12:00:00 AM,Bus Passengers,283645,243067
US-Mexico Border,12/01/2005 12:00:00 AM,Truck Containers Full,242781,254814
US-Canada Border,12/01/2005 12:00:00 AM,Bus Passengers,212874,271279
US-Mexico Border,12/01/2005 12:00:00 AM,Truck Containers Empty,135546,141909
US-Canada Border,12/01/2005 12:00:00 AM,Rail Containers Full,120428,109161
US-Canada Border,12/01/2005 12:00:00 AM,Truck Containers Empty,75459,88724
US-Canada Border,12/01/2005 12:00:00 AM,Rail Containers Empty,38822,44199
US-Mexico Border,12/01/2005 12:00:00 AM,Rail Containers Empty,37319,31453
US-Mexico Border,12/01/2005 12:00:00 AM,Rail Containers Full,29308,28010
US-Canada Border,12/01/2005 12:00:00 AM,Pedestrians,24215,47961
US-Mexico Border,12/01/2005 12:00:00 AM,Buses,22946,19462
US-Canada Border,12/01/2005 12:00:00 AM,Train Passengers,15162,21658
US-Canada Border,12/01/2005 12:00:00 AM,Buses,8068,11287
US-Canada Border,12/01/2005 12:00:00 AM,Trains,2953,2520
US-Mexico Border,12/01/2005 12:00:00 AM,Train Passengers,1724,1037
US-Mexico Border,12/01/2005 12:00:00 AM,Trains,823,727
US-Mexico Border,12/01/2004 12:00:00 AM,Personal Vehicle Passengers,16991865,14066463
US-Mexico Border,12/01/2004 12:00:00 AM,Personal Vehicles,8074001,6530126
US-Mexico Border,12/01/2004 12:00:00 AM,Pedestrians,4519993,3680143
US-Canada Border,12/01/2004 12:00:00 AM,Personal Vehicle Passengers,4407985,5573427
US-Canada Border,12/01/2004 12:00:00 AM,Personal Vehicles,2210779,2659519
US-Canada Border,12/01/2004 12:00:00 AM,Trucks,502115,514259
US-Canada Border,12/01/2004 12:00:00 AM,Truck Containers Full,423289,384692
US-Mexico Border,12/01/2004 12:00:00 AM,Trucks,355965,400915
US-Mexico Border,12/01/2004 12:00:00 AM,Bus Passengers,292169,242883
US-Mexico Border,12/01/2004 12:00:00 AM,Truck Containers Full,220354,254944
US-Canada Border,12/01/2004 12:00:00 AM,Bus Passengers,201602,271540
US-Mexico Border,12/01/2004 12:00:00 AM,Truck Containers Empty,134507,141936
US-Canada Border,12/01/2004 12:00:00 AM,Rail Containers Full,119895,109121
US-Canada Border,12/01/2004 12:00:00 AM,Truck Containers Empty,72454,88785
US-Canada Border,12/01/2004 12:00:00 AM,Rail Containers Empty,37255,44225
US-Mexico Border,12/01/2004 12:00:00 AM,Rail Containers Empty,35645,31437
US-Mexico Border,12/01/2004 12:00:00 AM,Rail Containers Full,26466,28015
US-Canada Border,12/01/2004 12:00:00 AM,Pedestrians,24199,48050
US-Mexico Border,12/01/2004 12:00:00 AM,Buses,22942,19449
US-Canada Border,12/01/2004 12:00:00 AM,Train Passengers,12406,21693
US-Canada Border,12/01/2004 12:00:00 AM,Buses,8443,11298
US-Canada Border,12/01/2004 12:00:00 AM,Trains,2608,2520
US-Mexico Border,12/01/2004 12:00:00 AM,Train Passengers,1086,1037
US-Mexico Border,12/01/2004 12:00:00 AM,Trains,638,727
